Date,RetailSales,CPI,NFP,IPI
2008-07-06,-2734,-0.3259999999999934,-267,-1.519599999999997
2008-07-13,-2734,-0.3259999999999934,-267,-1.519599999999997
2008-07-20,-2734,-0.3259999999999934,-267,-1.519599999999997
2008-07-27,-2734,-0.3259999999999934,-267,-1.519599999999997
2008-08-03,-5805,0.18700000000001182,-450,-4.343600000000009
2008-08-10,-5805,0.18700000000001182,-450,-4.343600000000009
2008-08-17,-5805,0.18700000000001182,-450,-4.343600000000009
2008-08-24,-5805,0.18700000000001182,-450,-4.343600000000009
2008-08-31,-5805,0.18700000000001182,-450,-4.343600000000009
2008-09-07,-13383,-1.882000000000005,-474,0.9123000000000019
2008-09-14,-13383,-1.882000000000005,-474,0.9123000000000019
2008-09-21,-13383,-1.882000000000005,-474,0.9123000000000019
2008-09-28,-13383,-1.882000000000005,-474,0.9123000000000019
2008-10-05,-13010,-3.842000000000013,-766,-1.1968999999999994
2008-10-12,-13010,-3.842000000000013,-766,-1.1968999999999994
2008-10-19,-13010,-3.842000000000013,-766,-1.1968999999999994
2008-10-26,-13010,-3.842000000000013,-766,-1.1968999999999994
2008-11-02,-7397,-1.7549999999999955,-694,-2.815899999999999
2008-11-09,-7397,-1.7549999999999955,-694,-2.815899999999999
2008-11-16,-7397,-1.7549999999999955,-694,-2.815899999999999
2008-11-23,-7397,-1.7549999999999955,-694,-2.815899999999999
2008-11-30,-7397,-1.7549999999999955,-694,-2.815899999999999
2008-12-07,4582,0.5349999999999966,-793,-2.2116999999999933
2008-12-14,4582,0.5349999999999966,-793,-2.2116999999999933
2008-12-21,4582,0.5349999999999966,-793,-2.2116999999999933
2008-12-28,4582,0.5349999999999966,-793,-2.2116999999999933
2009-01-04,-1028,0.7720000000000198,-702,-0.5927999999999969
2009-01-11,-1028,0.7720000000000198,-702,-0.5927999999999969
2009-01-18,-1028,0.7720000000000198,-702,-0.5927999999999969
2009-01-25,-1028,0.7720000000000198,-702,-0.5927999999999969
2009-02-01,-5368,-0.21000000000000796,-823,-1.4476000000000084
2009-02-08,-5368,-0.21000000000000796,-823,-1.4476000000000084
2009-02-15,-5368,-0.21000000000000796,-823,-1.4476000000000084
2009-02-22,-5368,-0.21000000000000796,-823,-1.4476000000000084
2009-03-01,1148,0.21399999999999864,-687,-0.8036999999999921
2009-03-08,1148,0.21399999999999864,-687,-0.8036999999999921
2009-03-15,1148,0.21399999999999864,-687,-0.8036999999999921
2009-03-22,1148,0.21399999999999864,-687,-0.8036999999999921
2009-03-29,1148,0.21399999999999864,-687,-0.8036999999999921
2009-04-05,2985,0.3130000000000166,-349,-0.9451999999999998
2009-04-12,2985,0.3130000000000166,-349,-0.9451999999999998
2009-04-19,2985,0.3130000000000166,-349,-0.9451999999999998
2009-04-26,2985,0.3130000000000166,-349,-0.9451999999999998
2009-05-03,5298,1.7679999999999723,-471,-0.3774000000000086
2009-05-10,5298,1.7679999999999723,-471,-0.3774000000000086
2009-05-17,5298,1.7679999999999723,-471,-0.3774000000000086
2009-05-24,5298,1.7679999999999723,-471,-0.3774000000000086
2009-05-31,5298,1.7679999999999723,-471,-0.3774000000000086
2009-06-07,656,-0.06399999999999295,-329,0.916000000000011
2009-06-14,656,-0.06399999999999295,-329,0.916000000000011
2009-06-21,656,-0.06399999999999295,-329,0.916000000000011
2009-06-28,656,-0.06399999999999295,-329,0.916000000000011
2009-07-05,6498,0.7189999999999941,-213,0.9723999999999933
2009-07-12,6498,0.7189999999999941,-213,0.9723999999999933
2009-07-19,6498,0.7189999999999941,-213,0.9723999999999933
2009-07-26,6498,0.7189999999999941,-213,0.9723999999999933
2009-08-02,-8059,0.4159999999999968,-220,0.6694999999999993
2009-08-09,-8059,0.4159999999999968,-220,0.6694999999999993
2009-08-16,-8059,0.4159999999999968,-220,0.6694999999999993
2009-08-23,-8059,0.4159999999999968,-220,0.6694999999999993
2009-08-30,-8059,0.4159999999999968,-220,0.6694999999999993
2009-09-06,3125,0.6480000000000246,-204,0.29070000000000107
2009-09-13,3125,0.6480000000000246,-204,0.29070000000000107
2009-09-20,3125,0.6480000000000246,-204,0.29070000000000107
2009-09-27,3125,0.6480000000000246,-204,0.29070000000000107
2009-10-04,2721,0.7249999999999943,-2,0.3674999999999926
2009-10-11,2721,0.7249999999999943,-2,0.3674999999999926
2009-10-18,2721,0.7249999999999943,-2,0.3674999999999926
2009-10-25,2721,0.7249999999999943,-2,0.3674999999999926
2009-11-01,1719,0.11299999999999955,-275,0.24540000000000362
2009-11-08,1719,0.11299999999999955,-275,0.24540000000000362
2009-11-15,1719,0.11299999999999955,-275,0.24540000000000362
2009-11-22,1719,0.11299999999999955,-275,0.24540000000000362
2009-11-29,1719,0.11299999999999955,-275,0.24540000000000362
2009-12-06,233,0.14099999999999113,23,1.0370999999999952
2009-12-13,233,0.14099999999999113,23,1.0370999999999952
2009-12-20,233,0.14099999999999113,23,1.0370999999999952
2009-12-27,233,0.14099999999999113,23,1.0370999999999952
2010-01-03,-183,-0.20700000000002206,-68,0.3352000000000004
2010-01-10,-183,-0.20700000000002206,-68,0.3352000000000004
2010-01-17,-183,-0.20700000000002206,-68,0.3352000000000004
2010-01-24,-183,-0.20700000000002206,-68,0.3352000000000004
2010-01-31,-183,-0.20700000000002206,-68,0.3352000000000004
2010-02-07,7582,0.07200000000000273,164,0.6406000000000063
2010-02-14,7582,0.07200000000000273,164,0.6406000000000063
2010-02-21,7582,0.07200000000000273,164,0.6406000000000063
2010-02-28,7582,0.07200000000000273,164,0.6406000000000063
2010-03-07,2287,0.05000000000001137,243,0.3885999999999967
2010-03-14,2287,0.05000000000001137,243,0.3885999999999967
2010-03-21,2287,0.05000000000001137,243,0.3885999999999967
2010-03-28,2287,0.05000000000001137,243,0.3885999999999967
2010-04-04,-2829,-0.11299999999999955,524,1.3963999999999999
2010-04-11,-2829,-0.11299999999999955,524,1.3963999999999999
2010-04-18,-2829,-0.11299999999999955,524,1.3963999999999999
2010-04-25,-2829,-0.11299999999999955,524,1.3963999999999999
2010-05-02,-635,-0.09099999999997976,-137,0.18120000000000402
2010-05-09,-635,-0.09099999999997976,-137,0.18120000000000402
2010-05-16,-635,-0.09099999999997976,-137,0.18120000000000402
2010-05-23,-635,-0.09099999999997976,-137,0.18120000000000402
2010-05-30,-635,-0.09099999999997976,-137,0.18120000000000402
2010-06-06,451,0.4059999999999775,-68,0.43609999999999616
2010-06-13,451,0.4059999999999775,-68,0.43609999999999616
2010-06-20,451,0.4059999999999775,-68,0.43609999999999616
2010-06-27,451,0.4059999999999775,-68,0.43609999999999616
2010-07-04,1679,0.31800000000001205,-36,0.39679999999999893
2010-07-11,1679,0.31800000000001205,-36,0.39679999999999893
2010-07-18,1679,0.31800000000001205,-36,0.39679999999999893
2010-07-25,1679,0.31800000000001205,-36,0.39679999999999893
2010-08-01,2798,0.35200000000000387,-52,0.26780000000000825
2010-08-08,2798,0.35200000000000387,-52,0.26780000000000825
2010-08-15,2798,0.35200000000000387,-52,0.26780000000000825
2010-08-22,2798,0.35200000000000387,-52,0.26780000000000825
2010-08-29,2798,0.35200000000000387,-52,0.26780000000000825
2010-09-05,4317,0.7599999999999909,262,-0.227800000000002
2010-09-12,4317,0.7599999999999909,262,-0.227800000000002
2010-09-19,4317,0.7599999999999909,262,-0.227800000000002
2010-09-26,4317,0.7599999999999909,262,-0.227800000000002
2010-10-03,3402,0.5550000000000068,119,0.037800000000004275
2010-10-10,3402,0.5550000000000068,119,0.037800000000004275
2010-10-17,3402,0.5550000000000068,119,0.037800000000004275
2010-10-24,3402,0.5550000000000068,119,0.037800000000004275
2010-10-31,3402,0.5550000000000068,119,0.037800000000004275
2010-11-07,2087,0.882000000000005,87,0.8280999999999921
2010-11-14,2087,0.882000000000005,87,0.8280999999999921
2010-11-21,2087,0.882000000000005,87,0.8280999999999921
2010-11-28,2087,0.882000000000005,87,0.8280999999999921
2010-12-05,2852,0.7150000000000034,43,-0.09900000000000375
2010-12-12,2852,0.7150000000000034,43,-0.09900000000000375
2010-12-19,2852,0.7150000000000034,43,-0.09900000000000375
2010-12-26,2852,0.7150000000000034,43,-0.09900000000000375
2011-01-02,1985,0.7109999999999843,189,-0.4218999999999937
2011-01-09,1985,0.7109999999999843,189,-0.4218999999999937
2011-01-16,1985,0.7109999999999843,189,-0.4218999999999937
2011-01-23,1985,0.7109999999999843,189,-0.4218999999999937
2011-01-30,1985,0.7109999999999843,189,-0.4218999999999937
2011-02-06,3314,1.1479999999999961,225,0.9209999999999923
2011-02-13,3314,1.1479999999999961,225,0.9209999999999923
2011-02-20,3314,1.1479999999999961,225,0.9209999999999923
2011-02-27,3314,1.1479999999999961,225,0.9209999999999923
2011-03-06,2354,1.046999999999997,346,-0.37179999999999325
2011-03-13,2354,1.046999999999997,346,-0.37179999999999325
2011-03-20,2354,1.046999999999997,346,-0.37179999999999325
2011-03-27,2354,1.046999999999997,346,-0.37179999999999325
2011-04-03,-860,0.7129999999999939,77,0.2143999999999977
2011-04-10,-860,0.7129999999999939,77,0.2143999999999977
2011-04-17,-860,0.7129999999999939,77,0.2143999999999977
2011-04-24,-860,0.7129999999999939,77,0.2143999999999977
2011-05-01,2180,0,225,0.22790000000000532
2011-05-08,2180,0,225,0.22790000000000532
2011-05-15,2180,0,225,0.22790000000000532
2011-05-22,2180,0,225,0.22790000000000532
2011-05-29,2180,0,225,0.22790000000000532
2011-06-05,-118,0.5890000000000271,69,0.41669999999999163
2011-06-12,-118,0.5890000000000271,69,0.41669999999999163
2011-06-19,-118,0.5890000000000271,69,0.41669999999999163
2011-06-26,-118,0.5890000000000271,69,0.41669999999999163
2011-07-03,690,0.7109999999999843,110,0.570999999999998
2011-07-10,690,0.7109999999999843,110,0.570999999999998
2011-07-17,690,0.7109999999999843,110,0.570999999999998
2011-07-24,690,0.7109999999999843,110,0.570999999999998
2011-07-31,690,0.7109999999999843,110,0.570999999999998
2011-08-07,3242,0.49100000000001387,248,-0.07389999999999475
2011-08-14,3242,0.49100000000001387,248,-0.07389999999999475
2011-08-21,3242,0.49100000000001387,248,-0.07389999999999475
2011-08-28,3242,0.49100000000001387,248,-0.07389999999999475
2011-09-04,2749,0.1529999999999916,209,0.6936000000000035
2011-09-11,2749,0.1529999999999916,209,0.6936000000000035
2011-09-18,2749,0.1529999999999916,209,0.6936000000000035
2011-09-25,2749,0.1529999999999916,209,0.6936000000000035
2011-10-02,1284,0.41900000000001114,141,-0.12449999999999761
2011-10-09,1284,0.41900000000001114,141,-0.12449999999999761
2011-10-16,1284,0.41900000000001114,141,-0.12449999999999761
2011-10-23,1284,0.41900000000001114,141,-0.12449999999999761
2011-10-30,1284,0.41900000000001114,141,-0.12449999999999761
2011-11-06,419,0.053999999999973625,209,0.49439999999999884
2011-11-13,419,0.053999999999973625,209,0.49439999999999884
2011-11-20,419,0.053999999999973625,209,0.49439999999999884
2011-11-27,419,0.053999999999973625,209,0.49439999999999884
2011-12-04,2845,0.6190000000000282,358,0.6341000000000037
2011-12-11,2845,0.6190000000000282,358,0.6341000000000037
2011-12-18,2845,0.6190000000000282,358,0.6341000000000037
2011-12-25,2845,0.6190000000000282,358,0.6341000000000037
2012-01-01,4404,0.48699999999999477,237,0.29529999999999745
2012-01-08,4404,0.48699999999999477,237,0.29529999999999745
2012-01-15,4404,0.48699999999999477,237,0.29529999999999745
2012-01-22,4404,0.48699999999999477,237,0.29529999999999745
2012-01-29,4404,0.48699999999999477,237,0.29529999999999745
2012-02-05,1870,0.47800000000000864,233,-0.5542999999999978
2012-02-12,1870,0.47800000000000864,233,-0.5542999999999978
2012-02-19,1870,0.47800000000000864,233,-0.5542999999999978
2012-02-26,1870,0.47800000000000864,233,-0.5542999999999978
2012-03-04,-2248,0.37999999999999545,78,0.7951999999999941
2012-03-11,-2248,0.37999999999999545,78,0.7951999999999941
2012-03-18,-2248,0.37999999999999545,78,0.7951999999999941
2012-03-25,-2248,0.37999999999999545,78,0.7951999999999941
2012-04-01,-612,-0.47400000000001796,115,0.1757999999999953
2012-04-08,-612,-0.47400000000001796,115,0.1757999999999953
2012-04-15,-612,-0.47400000000001796,115,0.1757999999999953
2012-04-22,-612,-0.47400000000001796,115,0.1757999999999953
2012-04-29,-612,-0.47400000000001796,115,0.1757999999999953
2012-05-06,-3817,-0.18899999999999295,76,0.02930000000000632
2012-05-13,-3817,-0.18899999999999295,76,0.02930000000000632
2012-05-20,-3817,-0.18899999999999295,76,0.02930000000000632
2012-05-27,-3817,-0.18899999999999295,76,0.02930000000000632
2012-06-03,1431,0.0660000000000025,143,0.23629999999999995
2012-06-10,1431,0.0660000000000025,143,0.23629999999999995
2012-06-17,1431,0.0660000000000025,143,0.23629999999999995
2012-06-24,1431,0.0660000000000025,143,0.23629999999999995
2012-07-01,4478,1.328000000000003,177,-0.3907999999999987
2012-07-08,4478,1.328000000000003,177,-0.3907999999999987
2012-07-15,4478,1.328000000000003,177,-0.3907999999999987
2012-07-22,4478,1.328000000000003,177,-0.3907999999999987
2012-07-29,4478,1.328000000000003,177,-0.3907999999999987
2012-08-05,3469,1.09699999999998,203,0.0005999999999914962
2012-08-12,3469,1.09699999999998,203,0.0005999999999914962
2012-08-19,3469,1.09699999999998,203,0.0005999999999914962
2012-08-26,3469,1.09699999999998,203,0.0005999999999914962
2012-09-02,463,0.6230000000000189,146,0.292500000000004
2012-09-09,463,0.6230000000000189,146,0.292500000000004
2012-09-16,463,0.6230000000000189,146,0.292500000000004
2012-09-23,463,0.6230000000000189,146,0.292500000000004
2012-09-30,463,0.6230000000000189,146,0.292500000000004
2012-10-07,878,-0.3889999999999816,132,0.4939999999999998
2012-10-14,878,-0.3889999999999816,132,0.4939999999999998
2012-10-21,878,-0.3889999999999816,132,0.4939999999999998
2012-10-28,878,-0.3889999999999816,132,0.4939999999999998
2012-11-04,1626,-0.02800000000004843,244,0.2779000000000025
2012-11-11,1626,-0.02800000000004843,244,0.2779000000000025
2012-11-18,1626,-0.02800000000004843,244,0.2779000000000025
2012-11-25,1626,-0.02800000000004843,244,0.2779000000000025
2012-12-02,2644,0.39100000000001955,211,-0.08270000000000266
2012-12-09,2644,0.39100000000001955,211,-0.08270000000000266
2012-12-16,2644,0.39100000000001955,211,-0.08270000000000266
2012-12-23,2644,0.39100000000001955,211,-0.08270000000000266
2012-12-30,2644,0.39100000000001955,211,-0.08270000000000266
2013-01-06,4513,1.3730000000000189,286,0.5716000000000037
2013-01-13,4513,1.3730000000000189,286,0.5716000000000037
2013-01-20,4513,1.3730000000000189,286,0.5716000000000037
2013-01-27,4513,1.3730000000000189,286,0.5716000000000037
2013-02-03,-2936,-0.686000000000007,130,0.3049000000000035
2013-02-10,-2936,-0.686000000000007,130,0.3049000000000035
2013-02-17,-2936,-0.686000000000007,130,0.3049000000000035
2013-02-24,-2936,-0.686000000000007,130,0.3049000000000035
2013-03-03,-862,-0.5040000000000191,197,-0.09180000000000632
2013-03-10,-862,-0.5040000000000191,197,-0.09180000000000632
2013-03-17,-862,-0.5040000000000191,197,-0.09180000000000632
2013-03-24,-862,-0.5040000000000191,197,-0.09180000000000632
2013-03-31,-862,-0.5040000000000191,197,-0.09180000000000632
2013-04-07,1353,0.12100000000000932,226,0.011399999999994748
2013-04-14,1353,0.12100000000000932,226,0.011399999999994748
2013-04-21,1353,0.12100000000000932,226,0.011399999999994748
2013-04-28,1353,0.12100000000000932,226,0.011399999999994748
2013-05-05,1800,0.45800000000002683,162,0.18139999999999645
2013-05-12,1800,0.45800000000002683,162,0.18139999999999645
2013-05-19,1800,0.45800000000002683,162,0.18139999999999645
2013-05-26,1800,0.45800000000002683,162,0.18139999999999645
2013-06-02,2138,0.5149999999999864,122,-0.5759999999999792
2013-06-09,2138,0.5149999999999864,122,-0.5759999999999792
2013-06-16,2138,0.5149999999999864,122,-0.5759999999999792
2013-06-23,2138,0.5149999999999864,122,-0.5759999999999792
2013-06-30,2138,0.5149999999999864,122,-0.5759999999999792
2013-07-07,-865,0.4339999999999691,261,0.7801999999999936
2013-07-14,-865,0.4339999999999691,261,0.7801999999999936
2013-07-21,-865,0.4339999999999691,261,0.7801999999999936
2013-07-28,-865,0.4339999999999691,261,0.7801999999999936
2013-08-04,-182,0.3090000000000259,190,0.49329999999999075
2013-08-11,-182,0.3090000000000259,190,0.49329999999999075
2013-08-18,-182,0.3090000000000259,190,0.49329999999999075
2013-08-25,-182,0.3090000000000259,190,0.49329999999999075
2013-09-01,1489,0.08599999999998431,212,-0.09769999999998902
2013-09-08,1489,0.08599999999998431,212,-0.09769999999998902
2013-09-15,1489,0.08599999999998431,212,-0.09769999999998902
2013-09-22,1489,0.08599999999998431,212,-0.09769999999998902
2013-09-29,1489,0.08599999999998431,212,-0.09769999999998902
2013-10-06,425,0.4029999999999916,258,0.3357999999999919
2013-10-13,425,0.4029999999999916,258,0.3357999999999919
2013-10-20,425,0.4029999999999916,258,0.3357999999999919
2013-10-27,425,0.4029999999999916,258,0.3357999999999919
2013-11-03,2684,0.6020000000000039,47,0.2892999999999972
2013-11-10,2684,0.6020000000000039,47,0.2892999999999972
2013-11-17,2684,0.6020000000000039,47,0.2892999999999972
2013-11-24,2684,0.6020000000000039,47,0.2892999999999972
2013-12-01,-3707,0.6620000000000061,190,-0.49159999999999116
2013-12-08,-3707,0.6620000000000061,190,-0.49159999999999116
2013-12-15,-3707,0.6620000000000061,190,-0.49159999999999116
2013-12-22,-3707,0.6620000000000061,190,-0.49159999999999116
2013-12-29,-3707,0.6620000000000061,190,-0.49159999999999116
2014-01-05,4670,0.28700000000000614,151,1.0228999999999928
2014-01-12,4670,0.28700000000000614,151,1.0228999999999928
2014-01-19,4670,0.28700000000000614,151,1.0228999999999928
2014-01-26,4670,0.28700000000000614,151,1.0228999999999928
2014-02-02,4914,0.3059999999999832,272,0.9253999999999962
2014-02-09,4914,0.3059999999999832,272,0.9253999999999962
2014-02-16,4914,0.3059999999999832,272,0.9253999999999962
2014-02-23,4914,0.3059999999999832,272,0.9253999999999962
2014-03-02,3870,0.492999999999995,329,0.2261000000000024
2014-03-09,3870,0.492999999999995,329,0.2261000000000024
2014-03-16,3870,0.492999999999995,329,0.2261000000000024
2014-03-23,3870,0.492999999999995,329,0.2261000000000024
2014-03-30,3870,0.492999999999995,329,0.2261000000000024
2014-04-06,265,0.3610000000000184,246,0.299199999999999
2014-04-13,265,0.3610000000000184,246,0.299199999999999
2014-04-20,265,0.3610000000000184,246,0.299199999999999
2014-04-27,265,0.3610000000000184,246,0.299199999999999
2014-05-04,544,0.19700000000003115,304,0.38990000000001146
2014-05-11,544,0.19700000000003115,304,0.38990000000001146
2014-05-18,544,0.19700000000003115,304,0.38990000000001146
2014-05-25,544,0.19700000000003115,304,0.38990000000001146
2014-06-01,281,0.3949999999999818,202,0.02209999999999468
2014-06-08,281,0.3949999999999818,202,0.02209999999999468
2014-06-15,281,0.3949999999999818,202,0.02209999999999468
2014-06-22,281,0.3949999999999818,202,0.02209999999999468
2014-06-29,281,0.3949999999999818,202,0.02209999999999468
2014-07-06,3539,-0.1680000000000348,230,-0.06690000000000396
2014-07-13,3539,-0.1680000000000348,230,-0.06690000000000396
2014-07-20,3539,-0.1680000000000348,230,-0.06690000000000396
2014-07-27,3539,-0.1680000000000348,230,-0.06690000000000396
2014-08-03,-1354,0.2300000000000182,280,0.3079000000000036
2014-08-10,-1354,0.2300000000000182,280,0.3079000000000036
2014-08-17,-1354,0.2300000000000182,280,0.3079000000000036
2014-08-24,-1354,0.2300000000000182,280,0.3079000000000036
2014-08-31,-1354,0.2300000000000182,280,0.3079000000000036
2014-09-07,900,0.01999999999998181,227,0.05689999999999884
2014-09-14,900,0.01999999999998181,227,0.05689999999999884
2014-09-21,900,0.01999999999998181,227,0.05689999999999884
2014-09-28,900,0.01999999999998181,227,0.05689999999999884
2014-10-05,1697,-0.3879999999999768,312,0.823599999999999
2014-10-12,1697,-0.3879999999999768,312,0.823599999999999
2014-10-19,1697,-0.3879999999999768,312,0.823599999999999
2014-10-26,1697,-0.3879999999999768,312,0.823599999999999
2014-11-02,-3511,-0.828000000000003,255,-0.2336999999999989
2014-11-09,-3511,-0.828000000000003,255,-0.2336999999999989
2014-11-16,-3511,-0.828000000000003,255,-0.2336999999999989
2014-11-23,-3511,-0.828000000000003,255,-0.2336999999999989
2014-11-30,-3511,-0.828000000000003,255,-0.2336999999999989
2014-12-07,-3264,-1.3770000000000095,234,-0.7648999999999972
2014-12-14,-3264,-1.3770000000000095,234,-0.7648999999999972
2014-12-21,-3264,-1.3770000000000095,234,-0.7648999999999972
2014-12-28,-3264,-1.3770000000000095,234,-0.7648999999999972
2015-01-04,-1814,0.5760000000000218,238,-0.18269999999999698
2015-01-11,-1814,0.5760000000000218,238,-0.18269999999999698
2015-01-18,-1814,0.5760000000000218,238,-0.18269999999999698
2015-01-25,-1814,0.5760000000000218,238,-0.18269999999999698
2015-02-01,7431,0.5,86,-0.357600000000005
2015-02-08,7431,0.5,86,-0.357600000000005
2015-02-15,7431,0.5,86,-0.357600000000005
2015-02-22,7431,0.5,86,-0.357600000000005
2015-03-01,-623,0.21199999999998909,262,-0.41209999999999525
2015-03-08,-623,0.21199999999998909,262,-0.41209999999999525
2015-03-15,-623,0.21199999999998909,262,-0.41209999999999525
2015-03-22,-623,0.21199999999998909,262,-0.41209999999999525
2015-03-29,-623,0.21199999999998909,262,-0.41209999999999525
2015-04-05,3940,0.6899999999999977,344,-0.37810000000000343
2015-04-12,3940,0.6899999999999977,344,-0.37810000000000343
2015-04-19,3940,0.6899999999999977,344,-0.37810000000000343
2015-04-26,3940,0.6899999999999977,344,-0.37810000000000343
2015-05-03,-99,0.52800000000002,206,-0.2916000000000025
2015-05-10,-99,0.52800000000002,206,-0.2916000000000025
2015-05-17,-99,0.52800000000002,206,-0.2916000000000025
2015-05-24,-99,0.52800000000002,206,-0.2916000000000025
2015-05-31,-99,0.52800000000002,206,-0.2916000000000025
2015-06-07,2791,0.4569999999999652,254,0.5223000000000013
2015-06-14,2791,0.4569999999999652,254,0.5223000000000013
2015-06-21,2791,0.4569999999999652,254,0.5223000000000013
2015-06-28,2791,0.4569999999999652,254,0.5223000000000013
2015-07-05,-59,-0.06499999999999773,157,-0.005899999999996908
2015-07-12,-59,-0.06499999999999773,157,-0.005899999999996908
2015-07-19,-59,-0.06499999999999773,157,-0.005899999999996908
2015-07-26,-59,-0.06499999999999773,157,-0.005899999999996908
2015-08-02,-114,-0.34399999999996567,100,-0.30530000000000257
2015-08-09,-114,-0.34399999999996567,100,-0.30530000000000257
2015-08-16,-114,-0.34399999999996567,100,-0.30530000000000257
2015-08-23,-114,-0.34399999999996567,100,-0.30530000000000257
2015-08-30,-114,-0.34399999999996567,100,-0.30530000000000257
2015-09-06,-1230,0.32499999999998863,321,-0.19930000000000803
2015-09-13,-1230,0.32499999999998863,321,-0.19930000000000803
2015-09-20,-1230,0.32499999999998863,321,-0.19930000000000803
2015-09-27,-1230,0.32499999999998863,321,-0.19930000000000803
2015-10-04,1610,0.36099999999999,272,-0.6079999999999899
2015-10-11,1610,0.36099999999999,272,-0.6079999999999899
2015-10-18,1610,0.36099999999999,272,-0.6079999999999899
2015-10-25,1610,0.36099999999999,272,-0.6079999999999899
2015-11-01,1299,-0.30700000000001637,239,-0.47860000000000014
2015-11-08,1299,-0.30700000000001637,239,-0.47860000000000014
2015-11-15,1299,-0.30700000000001637,239,-0.47860000000000014
2015-11-22,1299,-0.30700000000001637,239,-0.47860000000000014
2015-11-29,1299,-0.30700000000001637,239,-0.47860000000000014
2015-12-06,-3516,0.2600000000000193,126,0.5643000000000029
2015-12-13,-3516,0.2600000000000193,126,0.5643000000000029
2015-12-20,-3516,0.2600000000000193,126,0.5643000000000029
2015-12-27,-3516,0.2600000000000193,126,0.5643000000000029
2016-01-03,1684,-0.2980000000000018,237,-0.2137000000000029
2016-01-10,1684,-0.2980000000000018,237,-0.2137000000000029
2016-01-17,1684,-0.2980000000000018,237,-0.2137000000000029
2016-01-24,1684,-0.2980000000000018,237,-0.2137000000000029
2016-01-31,1684,-0.2980000000000018,237,-0.2137000000000029
2016-02-07,156,0.27000000000001023,225,-0.7421999999999969
2016-02-14,156,0.27000000000001023,225,-0.7421999999999969
2016-02-21,156,0.27000000000001023,225,-0.7421999999999969
2016-02-28,156,0.27000000000001023,225,-0.7421999999999969
2016-03-06,2653,0.8299999999999841,153,0.3433999999999884
2016-03-13,2653,0.8299999999999841,153,0.3433999999999884
2016-03-20,2653,0.8299999999999841,153,0.3433999999999884
2016-03-27,2653,0.8299999999999841,153,0.3433999999999884
2016-04-03,1337,0.45400000000000773,43,-0.1144999999999925
2016-04-10,1337,0.45400000000000773,43,-0.1144999999999925
2016-04-17,1337,0.45400000000000773,43,-0.1144999999999925
2016-04-24,1337,0.45400000000000773,43,-0.1144999999999925
2016-05-01,4504,0.4800000000000182,297,0.3696999999999946
2016-05-08,4504,0.4800000000000182,297,0.3696999999999946
2016-05-15,4504,0.4800000000000182,297,0.3696999999999946
2016-05-22,4504,0.4800000000000182,297,0.3696999999999946
2016-05-29,4504,0.4800000000000182,297,0.3696999999999946
2016-06-05,-745,0.055999999999983174,291,0.09239999999999782
2016-06-12,-745,0.055999999999983174,291,0.09239999999999782
2016-06-19,-745,0.055999999999983174,291,0.09239999999999782
2016-06-26,-745,0.055999999999983174,291,0.09239999999999782
2016-07-03,-745,0.055999999999983174,291,0.09239999999999782